zip,donations,total,GEOID,variable,estimate,moe,donations_per_1000
20601,6976,190404.72999999975,20601,B01003_001,27328,1457,255.26932084309135
20602,6758,109716.81999999996,20602,B01003_001,28988,1690,233.1309507382365
20603,12854,248108.6100000006,20603,B01003_001,32495,1906,395.5685490075396
20606,11,131.43,20606,B01003_001,247,179,44.534412955465584
20607,6889,181393.81000000043,20607,B01003_001,12080,1570,570.2814569536424
20608,337,2569.720000000003,20608,B01003_001,603,189,558.8723051409619
20609,61,2290,20609,B01003_001,1240,313,49.193548387096776
20611,46,1206,20611,B01003_001,1127,275,40.816326530612244
20612,21,399.17,20612,B01003_001,147,133,142.85714285714286
20613,6436,170352.85000000012,20613,B01003_001,14800,1062,434.86486486486484
20615,25,633,20615,B01003_001,524,233,47.709923664122144
20616,1703,38740.899999999994,20616,B01003_001,6792,1180,250.736160188457
20617,274,7542.26,20617,B01003_001,630,283,434.92063492063494
20618,313,6069.32,20618,B01003_001,1087,369,287.94848206071754
20619,2733,63659.01000000006,20619,B01003_001,13925,1248,196.2657091561939
20620,393,7357.65,20620,B01003_001,1325,479,296.60377358490564
20621,66,967,20621,B01003_001,775,368,85.16129032258064
20622,356,8922.109999999999,20622,B01003_001,5471,1124,65.07037104734052
20623,2075,33616.96000000001,20623,B01003_001,2457,389,844.5258445258446
20624,60,795,20624,B01003_001,990,331,60.60606060606061
20625,454,9224.020000000004,20625,B01003_001,1248,404,363.78205128205127
20626,240,3636.8600000000006,20626,B01003_001,239,154,1004.18410041841
20628,43,12163.26,20628,B01003_001,631,331,68.14580031695722
20629,37,813,20629,B01003_001,1072,367,34.51492537313433
20630,371,24333.75,20630,B01003_001,307,147,1208.469055374593
20632,21,2812.5,20632,B01003_001,802,416,26.184538653366584
20634,1095,27256.079999999944,20634,B01003_001,7853,1330,139.43715777409906
20636,2316,58391.37,20636,B01003_001,11089,1415,208.85562268915143
20637,2083,40167.06999999999,20637,B01003_001,6221,626,334.8336280340781
20639,3313,119571.28999999998,20639,B01003_001,15058,1086,220.0159383716297
20640,1569,24599.82999999998,20640,B01003_001,10629,900,147.6150155235676
20645,199,10778.3,20645,B01003_001,763,271,260.81258191349934
20646,5566,130374.95000000004,20646,B01003_001,21248,1174,261.95406626506025
20650,3964,144375.84000000023,20650,B01003_001,15522,1211,255.37946140961216
20653,3608,81705.0799999999,20653,B01003_001,27053,1548,133.36783351199497
20656,38,1569.76,20656,B01003_001,203,119,187.19211822660097
20657,5067,125720.03000000009,20657,B01003_001,21054,1291,240.66685665431748
20658,288,10475.370000000004,20658,B01003_001,978,213,294.47852760736197
20659,2061,66697.38,20659,B01003_001,23346,1541,88.28064764841943
20660,5,190,20660,B01003_001,0,13,Inf
20662,316,3207.0199999999995,20662,B01003_001,2590,464,122.00772200772201
20664,225,19794.23,20664,B01003_001,2780,483,80.93525179856115
20667,37,1525.39,20667,B01003_001,159,180,232.70440251572327
20670,100,2542.67,20670,B01003_001,1403,419,71.27583749109053
20674,355,9889.67,20674,B01003_001,807,389,439.9008674101611
20675,265,13192.1,20675,B01003_001,2060,501,128.64077669902912
20676,4042,51759.59,20676,B01003_001,2897,580,1395.2364515015533
20677,666,19220.51,20677,B01003_001,2055,410,324.08759124087595
20678,2380,49224.85999999996,20678,B01003_001,12874,846,184.8687276681684
20680,87,6197.360000000001,20680,B01003_001,588,330,147.9591836734694
20684,90,3067.24,20684,B01003_001,627,210,143.54066985645932
20685,2422,44961.41000000005,20685,B01003_001,6750,915,358.8148148148148
20686,776,26377.35,20686,B01003_001,963,129,805.8151609553479
20687,80,2937.49,20687,B01003_001,360,210,222.2222222222222
20688,3855,84676.29000000008,20688,B01003_001,1170,509,3294.871794871795
20689,201,18325.74,20689,B01003_001,1884,607,106.68789808917198
20690,697,10894.629999999992,20690,B01003_001,843,318,826.8090154211151
20692,161,5585.110000000001,20692,B01003_001,721,310,223.3009708737864
20693,226,5676.370000000001,20693,B01003_001,1210,518,186.77685950413223
20695,4407,98344.96999999994,20695,B01003_001,11455,1481,384.7228284591881
20701,127,5610.76,20701,B01003_001,794,271,159.94962216624685
20705,8949,263127.96999999945,20705,B01003_001,28660,1914,312.2470341939986
20706,12313,314519.8699999994,20706,B01003_001,43797,2670,281.1379774870425
20707,16759,392772.42999999854,20707,B01003_001,36352,1204,461.0200264084507
20708,7135,155413.97000000026,20708,B01003_001,27909,1610,255.65229854168908
20710,645,28141.24,20710,B01003_001,9781,194,65.94417748696452
20711,1572,67949.20999999996,20711,B01003_001,7435,1156,211.43241425689308
20712,4346,127500.21000000004,20712,B01003_001,9630,483,451.2980269989616
20714,2108,41288.52999999997,20714,B01003_001,4767,973,442.2068386826096
20715,17641,314771.77000000153,20715,B01003_001,26244,1068,672.1917390641671
20716,9976,277360.8199999999,20716,B01003_001,22340,1189,446.5532676812892
20720,17274,545108.1899999978,20720,B01003_001,26253,1812,657.9819449205805
20721,27247,1016134.5099999992,20721,B01003_001,30785,2089,885.0738996264414
20722,4938,57960.55000000015,20722,B01003_001,6218,528,794.1460276616276
20723,12363,402577.18000000034,20723,B01003_001,35845,1960,344.9016599246757
20724,6276,110552.95999999986,20724,B01003_001,18345,1551,342.1095666394113
20732,4164,104842.46,20732,B01003_001,10676,625,390.03372049456726
20733,1910,50651.11,20733,B01003_001,2669,658,715.6238291494942
20735,15308,316990.6299999999,20735,B01003_001,39399,1539,388.5377801467042
20736,3030,72934.04000000002,20736,B01003_001,9274,835,326.7198619797283
20737,3706,102120.56000000011,20737,B01003_001,24438,1646,151.64907111874948
20740,12587,317914.8899999996,20740,B01003_001,36583,785,344.06691632725585
20742,56,12867.61,20742,B01003_001,4263,645,13.136288998357964
20743,6852,165297.1299999999,20743,B01003_001,38692,2248,177.09087149798407
20744,31497,615052.9699999988,20744,B01003_001,55820,2945,564.2601218201362
20745,12754,230824.93999999977,20745,B01003_001,29355,1871,434.4745358541986
20746,5612,110835.93000000008,20746,B01003_001,28078,1728,199.87178573972506
20747,9223,156460.6300000003,20747,B01003_001,39279,1803,234.80740344713462
20748,12089,230580.97000000085,20748,B01003_001,40763,2849,296.5679660476412
20751,943,30918.42999999999,20751,B01003_001,2081,396,453.14752522825563
20754,1806,52836.890000000014,20754,B01003_001,7344,1018,245.91503267973854
20755,718,13748.61,20755,B01003_001,10011,991,71.72110678253921
20758,169,6653.169999999999,20758,B01003_001,542,165,311.8081180811808
20759,4003,216717.4500000003,20759,B01003_001,6125,667,653.5510204081633
20762,160,2821.08,20762,B01003_001,3099,395,51.62955792191029
20763,1067,16640.289999999997,20763,B01003_001,2219,748,480.8472284812979
20764,1593,58113.28999999995,20764,B01003_001,3280,607,485.6707317073171
20765,376,18800.06,20765,B01003_001,604,255,622.5165562913907
20769,7457,183612.53000000017,20769,B01003_001,6812,1073,1094.6858485026426
20770,17073,470197.8199999965,20770,B01003_001,28458,673,599.9367488931057
20771,16,223,20771,B01003_001,0,13,Inf
20772,24555,701566.209999997,20772,B01003_001,52596,2397,466.8605977640885
20774,28133,790564.2600000018,20774,B01003_001,51010,2662,551.5193099392276
20776,1344,43335.319999999985,20776,B01003_001,2966,739,453.13553607552257
20777,2707,111532.35999999994,20777,B01003_001,3220,494,840.6832298136646
20778,1436,39547.169999999984,20778,B01003_001,2564,673,560.0624024960998
20779,687,29339.599999999988,20779,B01003_001,992,354,692.5403225806451
20781,5853,231033.8899999996,20781,B01003_001,13299,1385,440.1082788179562
20782,12863,595571.0799999984,20782,B01003_001,34625,1977,371.4945848375451
20783,5720,339753.4999999998,20783,B01003_001,50387,2635,113.52134479131522
20784,5749,90245.51000000014,20784,B01003_001,32191,1811,178.59028921127023
20785,11413,374647.23999999976,20785,B01003_001,41281,1821,276.47101572151837
20794,2890,65081.25000000002,20794,B01003_001,16035,1029,180.23074524477707
20812,416,82029.63,20812,B01003_001,282,93,1475.177304964539
20814,54366,3840965.980000051,20814,B01003_001,30234,1563,1798.1742409208177
20815,77637,9090681.019999975,20815,B01003_001,31080,1537,2497.9729729729734
20816,35071,3206491.790000002,20816,B01003_001,17390,1099,2016.7337550316274
20817,65357,5935171.610000005,20817,B01003_001,37795,1489,1729.2499007805263
20818,3976,339569.6300000002,20818,B01003_001,1787,368,2224.958030218243
20832,15646,505974.4099999999,20832,B01003_001,25488,1217,613.857501569366
20833,4572,170021.89000000042,20833,B01003_001,7949,1026,575.1666876336647
20837,4684,155442.2500000004,20837,B01003_001,6651,315,704.2549992482333
20838,448,18843.38,20838,B01003_001,368,162,1217.3913043478262
20839,462,11704.82,20839,B01003_001,161,103,2869.565217391304
20841,4010,161266.3100000001,20841,B01003_001,9312,1013,430.62714776632305
20842,978,55610.649999999994,20842,B01003_001,1927,340,507.5246497145822
20850,45289,1625183.4800000193,20850,B01003_001,51072,1675,886.7677005012531
20851,5030,158464.17000000016,20851,B01003_001,14659,1086,343.1339109079746
20852,48307,1984718.029999996,20852,B01003_001,48379,2333,998.51175096632835
20853,19911,556389.1599999968,20853,B01003_001,31794,2511,626.2502358935649
20854,55150,4750407.0800000075,20854,B01003_001,49320,2280,1118.2076236820762
20855,10620,442482.6699999997,20855,B01003_001,16558,1460,641.3818093972702
20860,4148,138927.70000000022,20860,B01003_001,2279,525,1820.096533567354
20861,2729,124085.48999999998,20861,B01003_001,3031,869,900.3629165291983
20862,260,16786.32,20862,B01003_001,268,132,970.1492537313433
20866,6180,175550.99000000046,20866,B01003_001,16680,1762,370.50359712230215
20868,451,11939.11,20868,B01003_001,630,327,715.8730158730159
20871,8598,204083.8700000006,20871,B01003_001,27420,1984,313.56673960612693
20872,7302,125311.22000000012,20872,B01003_001,12932,953,564.6458397772966
20874,22381,527915.7199999968,20874,B01003_001,61922,2470,361.4385840250638
20876,9660,214333.43000000037,20876,B01003_001,26572,2086,363.54056902002105
20877,15286,371444.01,20877,B01003_001,38524,1975,396.7916104246703
20878,41096,1313016.679999994,20878,B01003_001,65954,1713,623.1009491463747
20879,10054,219295.58000000264,20879,B01003_001,27489,1961,365.7462985194078
20880,1356,52557.24000000001,20880,B01003_001,604,164,2245.0331125827815
20882,8651,261341.96000000025,20882,B01003_001,13962,1090,619.6103710070191
20886,16207,362243.20999999874,20886,B01003_001,34692,2228,467.168223221492
20889,2,28,20889,B01003_001,158,23,12.658227848101266
20892,5,500,20892,B01003_001,0,13,Inf
20894,13,230,20894,B01003_001,0,13,Inf
20895,26497,1347975.3600000064,20895,B01003_001,19273,1272,1374.8248845535204
20896,1962,161566.2600000002,20896,B01003_001,840,120,2335.714285714286
20899,30,3050,20899,B01003_001,143,80,209.7902097902098
20901,42989,1309525.8700000062,20901,B01003_001,37207,2224,1155.4008654285483
20902,29875,1073108.0000000023,20902,B01003_001,53308,2181,560.4224506640655
20903,6587,250580.09999999992,20903,B01003_001,25324,2283,260.1089875217185
20904,41324,1477418.6700000064,20904,B01003_001,56532,2478,730.9842213259747
20905,12733,509001.05000000366,20905,B01003_001,17451,1768,729.6430004011232
20906,54095,1138991.140000007,20906,B01003_001,71560,2542,755.9390721073224
20910,60712,2979373.470000009,20910,B01003_001,45072,1708,1347.0003549875755
20912,38778,1936275.090000004,20912,B01003_001,25823,1428,1501.6845447856563
21001,9185,126335.17999999996,21001,B01003_001,25908,1040,354.5236992434769
21005,1513,7449.8,21005,B01003_001,2703,540,559.7484276729559
21009,5538,94785.23000000004,21009,B01003_001,32565,2153,170.05988023952096
21010,1196,18019.26,21010,B01003_001,216,265,5537.037037037037
21012,11344,448162.7999999995,21012,B01003_001,23144,1689,490.14863463532663
21013,1809,42460.45999999997,21013,B01003_001,5382,1023,336.12040133779266
21014,9571,216782.57000000024,21014,B01003_001,37097,1207,257.99929913470095
21015,7969,198034.8099999996,21015,B01003_001,30485,1828,261.407249466951
21017,1139,18434.4,21017,B01003_001,6177,657,184.39371863364093
21023,188,7414.900000000003,21023,B01003_001,68,62,2764.705882352941
21028,777,21243.45,21028,B01003_001,2974,395,261.2642905178211
21029,5070,334097.21000000037,21029,B01003_001,13817,1531,366.93927770138237
21030,9939,375350.1199999992,21030,B01003_001,25133,1745,395.4561731587952
21031,10,589.24,21031,B01003_001,26,42,384.61538461538464
21032,5033,231805.08,21032,B01003_001,8040,1015,625.9950248756219
21034,608,23530.29,21034,B01003_001,2958,452,205.54428668018932
21035,6200,200449.85000000024,21035,B01003_001,8360,859,741.6267942583731
21036,1189,69995.87,21036,B01003_001,2145,385,554.3123543123543
21037,9471,376584.1499999987,21037,B01003_001,21060,1490,449.7150997150997
21040,2305,33320.56,21040,B01003_001,25110,1503,91.79609717244126
21042,28455,1050627.5999999992,21042,B01003_001,42528,1902,669.0886004514672
21043,20844,686790.2499999983,21043,B01003_001,47309,2147,440.5926990636031
21044,44569,1337506.6200000034,21044,B01003_001,45100,2073,988.2261640798226
21045,30660,803755.2300000013,21045,B01003_001,40980,1625,748.1698389458272
21046,11234,309389.19999999896,21046,B01003_001,15894,943,706.8076003523342
21047,2633,69101.56999999999,21047,B01003_001,13419,1285,196.21432297488636
21048,2073,66157.87999999996,21048,B01003_001,9759,1013,212.41930525668616
21050,3563,70752.11000000012,21050,B01003_001,18076,1132,197.11219296304492
21051,461,25766.14,21051,B01003_001,113,95,4079.6460176991154
21052,16,551,21052,B01003_001,438,259,36.5296803652968
21053,776,14091.339999999998,21053,B01003_001,3051,680,254.34283841363487
21054,5833,159548.24000000028,21054,B01003_001,15687,2248,371.83655255944416
21056,98,38413,21056,B01003_001,318,225,308.1761006289308
21057,2464,65720.03000000001,21057,B01003_001,4530,760,543.9293598233995
21060,14209,173872.13999999993,21060,B01003_001,38418,1871,369.85267322609195
21061,10219,168692.45000000004,21061,B01003_001,55172,2745,185.22076415573116
21071,287,8471.130000000001,21071,B01003_001,526,276,545.6273764258555
21074,2983,55540.70000000002,21074,B01003_001,15146,1206,196.9496896870461
21075,8984,224807.7100000003,21075,B01003_001,36176,2498,248.34144183989383
21076,6352,235382.90000000017,21076,B01003_001,22041,1730,288.1901910076675
21077,85,1464.38,21077,B01003_001,105,110,809.5238095238095
21078,7808,212588.47000000055,21078,B01003_001,19820,684,393.9455095862765
21082,459,13343.93,21082,B01003_001,694,258,661.3832853025937
21084,1638,29954.660000000033,21084,B01003_001,7366,989,222.37306543578606
21085,2745,55980.65999999996,21085,B01003_001,16590,1310,165.4611211573237
21087,656,20466.26,21087,B01003_001,5597,525,117.20564588172235
21090,1933,50232.64000000003,21090,B01003_001,10346,1099,186.83549197757588
21093,22218,633944.1899999967,21093,B01003_001,38961,1886,570.2625702625702
21102,3317,51923.16000000006,21102,B01003_001,12024,959,275.8649367930805
21104,4210,99374.20000000011,21104,B01003_001,6077,966,692.77604080961
21105,28,267,21105,B01003_001,40,63,700
21108,6603,220072.7800000001,21108,B01003_001,18046,1493,365.89826000221655
21111,3969,93046.8800000003,21111,B01003_001,4838,659,820.3803224472923
21113,16279,444059.96000000014,21113,B01003_001,36495,2114,446.06110426085763
21114,8848,236144.47000000044,21114,B01003_001,25126,1537,352.1451882512139
21117,23052,657696.399999998,21117,B01003_001,58516,2594,393.94353681044504
21120,2596,77234.65999999997,21120,B01003_001,7319,822,354.6932641071184
21122,9609,221055.7499999993,21122,B01003_001,61444,2461,156.3863029750667
21128,1908,49255.929999999986,21128,B01003_001,15934,1436,119.74394376804318
21130,7,225,21130,B01003_001,21,24,333.3333333333333
21131,2873,130327.89000000012,21131,B01003_001,7722,710,372.05387205387206
21132,185,6295.84,21132,B01003_001,3110,547,59.4855305466238
21133,8682,146954.52000000025,21133,B01003_001,32070,1892,270.7202993451824
21136,11483,323548.850000002,21136,B01003_001,35038,1566,327.7298932587476
21140,1294,55152.62999999996,21140,B01003_001,4255,790,304.11280846063454
21144,11718,222529.8500000001,21144,B01003_001,37041,2081,316.3521503199158
21146,13148,487095.9399999995,21146,B01003_001,29710,1689,442.5445977785257
21152,1796,80268.00000000007,21152,B01003_001,6517,978,275.58692649992327
21153,1329,41921.91000000001,21153,B01003_001,676,204,1965.976331360947
21154,568,14000.14,21154,B01003_001,7059,963,80.4646550502904
21155,578,15340.34,21155,B01003_001,3063,660,188.70388507998695
21156,40,1304.9999999999998,21156,B01003_001,362,247,110.49723756906077
21157,8691,202460.4400000002,21157,B01003_001,39816,1944,218.2790837854129
21158,4343,99560.21000000004,21158,B01003_001,23011,1135,188.7358219981748
21160,285,5854.12,21160,B01003_001,2716,756,104.93372606774669
21161,1036,26816.29999999997,21161,B01003_001,5625,877,184.17777777777778
21162,705,11934.46,21162,B01003_001,4322,618,163.11892642295234
21163,4816,171400.08000000005,21163,B01003_001,7222,767,666.8512877319303
21201,6643,366729.6200000009,21201,B01003_001,18305,1566,362.90630975143404
21202,6148,382084.8500000009,21202,B01003_001,20115,1216,305.6425553069849
21204,12273,511605.4999999996,21204,B01003_001,20188,1071,607.9354071725778
21205,1021,23248.110000000015,21205,B01003_001,14684,1763,69.53146281667121
